#,Game Name,Page URL,Page Status,Tournament Count
1,Garena Free Fire ,https://www.game.tv/find-tournaments/garena-free-fire-spooky-night-tournaments,200,150300
2,Brawl Stars ,https://www.game.tv/find-tournaments/brawl-stars-tournaments,200,67609
3,Clash Royale ,https://www.game.tv/find-tournaments/clash-royale-tournaments,200,11749
4,PUBG MOBILE ,https://www.game.tv/find-tournaments/pubg-mobile-tournaments,200,15549
5,Call of Duty ,https://www.game.tv/find-tournaments/call-of-duty-tournaments,200,18112
6,Clash of Clans ,https://www.game.tv/find-tournaments/clash-of-clans-tournaments,200,5943
7,8 Ball Pool ,https://www.game.tv/find-tournaments/8-ball-pool-tournaments,200,7443
8,Mobile Legends: Bang Bang ,https://www.game.tv/find-tournaments/mobile-legends-bang-bang-tournaments,200,4497
9,Arena of Valor ,https://www.game.tv/find-tournaments/arena-of-valor-tournaments,200,3538
10,Auto Chess ,https://www.game.tv/find-tournaments/auto-chess-tournaments,200,1440
11,Rumble Stars Football ,https://www.game.tv/find-tournaments/rumble-stars-football-tournaments,200,3067
12,Head Ball 2 ,https://www.game.tv/find-tournaments/head-ball-2-tournaments,200,1208
13,Yu-Gi-Oh! Duel Links ,https://www.game.tv/find-tournaments/yu-gi-oh-duel-links-tournaments,200,1400
14,Ludo King ,https://www.game.tv/find-tournaments/ludo-king-tournaments,200,3146
15,Hearthstone ,https://www.game.tv/find-tournaments/hearthstone-tournaments,200,1277
16,World Cricket Championship 2 - WCC2 ,https://www.game.tv/find-tournaments/world-cricket-championship-2-wcc2-tournaments,200,4402
17,Dota Underlords ,https://www.game.tv/find-tournaments/dota-underlords-tournaments,200,579
18,Fortnite ,https://www.game.tv/find-tournaments/fortnite-tournaments,200,1473
19,Chess Rush ,https://www.game.tv/find-tournaments/chess-rush-tournaments,200,425
20,FIFA Soccer ,https://www.game.tv/find-tournaments/fifa-soccer-tournaments,200,723
21,Royal Dice : Random Defense ,https://www.game.tv/find-tournaments/royal-dice-random-defense-tournaments,200,831
22,Animal Tower Battle ,https://www.game.tv/find-tournaments/animal-tower-battle-tournaments,200,5290
23,Bloons TD Battles ,https://www.game.tv/find-tournaments/bloons-td-battles-tournaments,200,311
24,Smashing four ,https://www.game.tv/find-tournaments/smashing-four-tournaments,200,826
25,Badland Brawl ,https://www.game.tv/find-tournaments/badland-brawl-tournaments,200,664
26,Captain Tsubasa: Dream Team ,https://www.game.tv/find-tournaments/captain-tsubasa-dream-team-tournaments,200,385
27,DRAGON BALL LEGENDS ,https://www.game.tv/find-tournaments/dragon-ball-legends-tournaments,200,498
28,Cyber Hunter ,https://www.game.tv/find-tournaments/cyber-hunter-tournaments,200,340
29,Saint Seiya Awakening: Knights of the Zodiac ,https://www.game.tv/find-tournaments/saint-seiya-awakening-knights-of-the-zodiac-tournaments,200,363
30,Skidstorm ,https://www.game.tv/find-tournaments/skidstorm-tournaments,200,838
31,Rocket League ,https://www.game.tv/find-tournaments/rocket-league-tournaments,200,671
32,Shadowverse CCG ,https://www.game.tv/find-tournaments/shadowverse-ccg-tournaments,200,177
33,The King of Fighters ALLSTAR ,https://www.game.tv/find-tournaments/the-king-of-fighters-allstar-tournaments,200,785
34,Soccer Stars ,https://www.game.tv/find-tournaments/soccer-stars-tournaments,200,3469
35,PUBG ,https://www.game.tv/find-tournaments/pubg-tournaments,200,629
36,War Robots Multiplayer Battles ,https://www.game.tv/find-tournaments/war-robots-multiplayer-battles-tournaments,200,125
37,Arena of Evolution: Red Tides ,https://www.game.tv/find-tournaments/arena-of-evolution-red-tides-tournaments,200,78
38,Counter Strike: Global Offensive ,https://www.game.tv/find-tournaments/counter-strike-global-offensive-tournaments,200,569
39,Fortnite PC ,https://www.game.tv/find-tournaments/fortnite-pc-tournaments,200,1586
40,BnB M ,https://www.game.tv/find-tournaments/bnb-m-tournaments,200,77
41,League of Legends: LoL ,https://www.game.tv/find-tournaments/league-of-legends-lol-tournaments,200,1380
42,Castle Burn - RTS Revolution ,https://www.game.tv/find-tournaments/castle-burn-rts-revolution-tournaments,200,80
43,Chess · Play & Learn ,https://www.game.tv/find-tournaments/chess-play-learn-tournaments,200,
44,Counter Attack - Multiplayer FPS ,https://www.game.tv/find-tournaments/counter-attack-multiplayer-fps-tournaments,200,64
45,Asphalt 9: Legends - 2019's Action Car Racing Game ,https://www.game.tv/find-tournaments/asphalt-9-legends-2019-s-action-car-racing-game-tournaments,200,70
46,ゼノンザード ZENONZARD ,https://www.game.tv/find-tournaments/zenonzado-zenonzard-tournaments,200,91
47,Summoners War ,https://www.game.tv/find-tournaments/summoners-war-tournaments,200,60
48,決戰！平安京 (Onmyoji Arena) ,https://www.game.tv/find-tournaments/jue-zhan-ping-an-jing-onmyoji-arena-tournaments,200,57
49,Battle of Arrows ,https://www.game.tv/find-tournaments/-battle-of-arrows-tournaments,200,35
50,Lords Mobile: Battle of the Empires - Strategy RPG ,https://www.game.tv/find-tournaments/lords-mobile-battle-of-the-empires-strategy-rpg-tournaments,200,38
51,달빛조각사 (Moonlight ,https://www.game.tv/find-tournaments/dalbicjogagsa-moonlight-tournaments,200,38
52,Pixel Gun 3D: FPS Shooter & Battle Royale ,https://www.game.tv/find-tournaments/pixel-gun-3d-fps-shooter-battle-royale-tournaments,200,47
53,Pubg Lite ,https://www.game.tv/find-tournaments/-pubg-lite-tournaments,200,362
54,Onmyoji Chess ,https://www.game.tv/find-tournaments/onmyoji-chess-tournaments,200,40
55,Carrom Pool ,https://www.game.tv/find-tournaments/-carrom-pool-tournaments,200,3256
56,Mini Militia ,https://www.game.tv/find-tournaments/mini-militia-tournaments,200,2726
57,Roblox ,https://www.game.tv/find-tournaments/-roblox-tournaments,200,236
58,Tom Clancy's Rainbow Six Siege ,https://www.game.tv/find-tournaments/-tom-clancy's-rainbow-six-siege-tournaments,200,462
59,Dr. Mario World ,https://www.game.tv/find-tournaments/dr-mario-world-tournaments,200,34
60,Dragalia Lost ,https://www.game.tv/find-tournaments/dragalia-lost-tournaments,200,32
61,Minecraft ,https://www.game.tv/find-tournaments/-minecraft-tournaments,200,395
62,Overwatch ,https://www.game.tv/find-tournaments/overwatch-tournaments,200,88
63,에오스 레드 (Eos Red) ,https://www.game.tv/find-tournaments/eoseu-redeu-eos-red-tournaments,200,18
64,Super Smash Bros. Ultimate ,https://www.game.tv/find-tournaments/-super-smash-bros.-ultimate-tournaments,200,128
65,Paladins ,https://www.game.tv/find-tournaments/-paladins-tournaments,200,43
66,TEPPEN ,https://www.game.tv/find-tournaments/teppen-tournaments,200,18
67,Pokémon sword and shield ,https://www.game.tv/find-tournaments/-pok%C3%A9mon-sword-and-shield--tournaments,404,33
68,Standoff 2 ,https://www.game.tv/find-tournaments/-standoff-2-tournaments,200,758
69,MTG Arena ,https://www.game.tv/find-tournaments/-mtg%E3%80%80arena-tournaments,404,65
70,Critical Ops: Multiplayer FPS ,https://www.game.tv/find-tournaments/critical-ops-multiplayer-fps-tournaments,200,74
71,Modern Warfare ,https://www.game.tv/find-tournaments/-modern-warfare-tournaments,200,154
72,Baram ,https://www.game.tv/find-tournaments/baram-tournaments,200,30
73,Call of duty : Warzone ,https://www.game.tv/find-tournaments/-call-of-duty-:-warzone--tournaments,200,1329
74,Legends of Runeterra ,https://www.game.tv/find-tournaments/-legends-of-runeterra-tournaments,200,241
75,Garena Speed Drifters ,https://www.game.tv/find-tournaments/garena-speed-drifters-tournaments,200,13
76,GTA 5 ,https://www.game.tv/find-tournaments/-gta-5--tournaments,200,39
77,轟啊坦克 (FortressGo) ,https://www.game.tv/find-tournaments/hong-a-tan-ke-fortressgo-tournaments,200,19
78,Destiny 2 ,https://www.game.tv/find-tournaments/-destiny-2-tournaments,200,38
79,Fleet Battle ,https://www.game.tv/find-tournaments/-fleet-battle-tournaments,200,99
80,FIFA 20 ,https://www.game.tv/find-tournaments/-fifa-20-tournaments,200,192
81,Audition Mobile TH ,https://www.game.tv/find-tournaments/audition-mobile-th-tournaments,200,8
82,Brawlhalla ,https://www.game.tv/find-tournaments/-brawlhalla-tournaments,200,560
83,Vainglory ,https://www.game.tv/find-tournaments/-vainglory-tournaments,200,6
84,LINE Let's Get Rich ,https://www.game.tv/find-tournaments/line-let-s-get-rich-tournaments,200,64
85,Tekken 7 ,https://www.game.tv/find-tournaments/-tekken-7-tournaments,200,88
86,The Seven Deadly Sins: Grand Cross ,https://www.game.tv/find-tournaments/-the-seven-deadly-sins:-grand-cross-tournaments,200,325
87,Golf Blitz ,https://www.game.tv/find-tournaments/-golf-blitz-tournaments,200,80
88,Frag Pro Shooter ,https://www.game.tv/find-tournaments/-frag-pro-shooter-tournaments,200,63
89,ドラゴンクエストライバルズ (Dragon Quest Rivals) ,https://www.game.tv/find-tournaments/doragonkuesutoraibaruzu-dragon-quest-rivals-tournaments,200,8
90,Pokemon Showdown ,https://www.game.tv/find-tournaments/-pokemon-showdown-tournaments,200,55
91,Yu-Gi-Oh! TCG ,https://www.game.tv/find-tournaments/_yu-gi-oh!_tcg-tournaments,200,39
92,Werewolf Online ,https://www.game.tv/find-tournaments/-werewolf-online-tournaments,200,18
93,NBA 2k20 ,https://www.game.tv/find-tournaments/-nba-2k20-tournaments,200,66
94,Dota 2 ,https://www.game.tv/find-tournaments/dota-2-tournaments,200,152
95,Apex Legends ,https://www.game.tv/find-tournaments/-apex-legends-tournaments,200,242
96,Dead by Daylight ,https://www.game.tv/find-tournaments/-dead-by-daylight-tournaments,200,87
97,Bowling King ,https://www.game.tv/find-tournaments/-bowling-king-tournaments,200,1172
98,BLACK DESERT MOBILE ,https://www.game.tv/find-tournaments/-black-desert-mobile-tournaments,200,32
99,Ludo World-Ludo Superstar ,https://www.game.tv/find-tournaments/_ludo_world-ludo_superstar-tournaments,200,1528
100,Jurassic World Alive ,https://www.game.tv/find-tournaments/jurassic-world-alive-tournaments,200,17
